song,artist,trackid,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,duration,analysis_sample_rate,analysis_channels,end_of_fade_in,start_of_fade_out,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence
Dance,ABBA,1zi7xx7UVEFkmKfv06H8x0,0.796,0.61,1,1,0.0516,0.00842,0.00286,0.351,0.391,103.99,173987,4,173.98667,22050,1,0.0,166.65542,-5.857,103.99,0.767,4,1.0,1,0.502,1,0.495
Dancing Queen,ABBA,4NtUY5IGzHCaqfZemmAu56,0.539,0.884,9,1,0.0403,0.382,0.00166,0.76,0.752,100.812,230693,4,230.69333,22050,1,0.39914,220.25288,-6.53,100.812,0.652,4,1.0,9,0.65,1,0.64
Disillusion,ABBA,1cD7C2muyWQopCkEJ8YM6O,0.373,0.966,2,0,0.197,7.43e-05,0.000878,0.203,0.12,160.03,255020,4,255.02036,22050,1,0.1917,249.87574,-4.79,160.03,0.222,4,0.966,2,0.358,0,0.468
Does Your Mother Know,ABBA,64DxdXTNY58CVu2j5QjCIk,0.74,0.899,9,1,0.0321,0.0259,5.92e-06,0.0373,0.965,133.922,181307,4,181.30667,22050,1,0.14027,178.44535,-4.461,133.922,0.946,4,0.98,9,0.609,1,0.559
Dream World,ABBA,2MsjuJQ5iRuWDCK1vbUF0d,0.245,0.181,3,0,0.0484,0.844,0.872,0.105,0.216,65.807,135721,4,135.72063,22050,1,0.0,125.16136,-20.867,65.807,0.009,4,1.0,3,0.423,0,0.383
Dum Dum Diddle,ABBA,7tyXKNbNJfQcYG8uHfPZah,0.661,0.817,4,1,0.0317,0.214,4.16e-05,0.19,0.857,127.333,174600,4,174.6,22050,1,0.39937,160.50794,-6.541,127.333,0.886,4,1.0,4,0.743,1,0.609
Eagle,ABBA,3e0FzZjTXOUtiJGSClOBrI,0.528,0.737,9,0,0.121,0.626,0.00911,0.325,0.632,99.361,282693,4,282.69333,22050,1,0.0,262.34485,-12.703,99.361,0.726,4,0.91,9,0.336,0,0.413
Every Good Man,ABBA,5o13auE6oxGSy6q3O9qdM7,0.495,0.838,7,1,0.0428,0.00103,0.0,0.132,0.179,129.771,200960,4,200.96,22050,1,0.0,200.96001,-4.855,129.771,0.451,4,0.904,7,0.436,1,0.567
Fernando,ABBA,1V9zWcD0PpWlFa42vCErzm,0.406,0.57,9,1,0.0279,0.462,0.0,0.274,0.58,111.5,239373,4,239.37333,22050,1,0.22635,231.47973,-7.764,111.5,0.272,4,0.243,9,0.661,1,0.744
Fernando (In Spanish),ABBA,3PE38oqKnoDreX6GzfpR75,0.177,0.084,10,1,0.043,0.992,0.931,0.128,0.451,140.228,160267,3,160.26667,22050,1,0.37188,147.13905,-32.402,140.228,0.457,3,0.526,10,0.745,1,0.818
Free As A Bumble Bee,ABBA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
From A Twinkling Star To A Passing Angel,ABBA,5kRtxsw0JGktZ4fkeXCLlh,0.401,0.175,7,1,0.0349,0.722,9.58e-06,0.325,0.199,120.02,547880,4,547.88,22050,1,0.30748,535.13288,-16.699,120.02,0.212,4,0.997,7,0.639,1,0.623
Gimme Gimme Gimme,ABBA,6H3kDe7CGoWYBabAeVWGiD,0.634,0.63,1,0,0.031,0.447,0.039,0.17,0.489,118.628,270773,4,270.77333,22050,1,0.33628,259.3785,-8.277,118.628,0.803,4,0.933,1,0.525,0,0.657
Givin' A Little Bit More,ABBA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonna Sing You My Lovesong,ABBA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamlet III,ABBA,3jj9ZqQmVr9MFoo60G74Rh,0.124,0.0966,2,1,0.0424,0.907,0.578,0.427,0.039,96.654,653440,5,653.44,22050,1,2.57161,621.56336,-22.668,96.654,0.021,5,0.072,2,0.63,1,0.583
Happy Hawaii,ABBA,1uvdgJ6KVIfzxAuEfDPyhv,0.539,0.772,0,1,0.0377,0.301,0.00134,0.38,0.351,118.089,265760,4,265.76,22050,1,0.73719,253.49805,-7.327,118.089,0.679,4,0.979,0,1.0,1,0.904
Happy New Year,ABBA,5iYKnmjIuI9OZhiAI9f5Mc,0.491,0.647,7,1,0.0273,0.146,5.19e-06,0.0797,0.389,142.179,239867,4,239.86667,22050,1,0.42948,228.67592,-5.882,142.179,0.431,4,0.959,7,0.507,1,0.665
He Is Your Brother,ABBA,0oZObEr6GJ8bnf6fs6w12G,0.416,0.738,4,1,0.0325,0.101,4.75e-05,0.135,0.963,178.556,198920,4,198.92,22050,1,0.2741,189.64898,-10.589,178.556,0.277,4,1.0,4,0.868,1,0.735
Head Over Heels,ABBA,5lwQGZYF4BXOzFtXc5zk8q,0.623,0.739,7,1,0.0244,0.338,1.88e-05,0.109,0.642,95.007,257316,4,257.3156,22050,1,0.13351,250.43882,-8.116,95.007,0.567,4,1.0,7,0.271,1,0.507
Here We'll Stay,ABBA,7uKtToonwNn3ZzjjrvSCSc,0.696,0.893,8,1,0.0276,0.371,0.000614,0.085,0.686,100.27,242960,4,242.96,22050,1,0.11025,235.00916,-6.812,100.27,0.542,4,1.0,8,0.532,1,0.479
Hey Hey Helen,ABBA,7dTdyczh09okXyhaq982OT,0.649,0.663,2,1,0.0398,0.00261,0.0104,0.0553,0.773,117.863,198360,4,198.36,22050,1,0.45959,186.96127,-6.617,117.863,0.766,4,1.0,2,0.111,1,0.37
Hole In Your Soul,ABBA,5P2FFIGTJW9Qg57oA9kzec,0.414,0.808,4,1,0.09,0.0783,0.0148,0.297,0.648,154.621,223440,4,223.44,22050,1,0.48186,212.55546,-5.546,154.621,0.424,4,1.0,4,0.329,1,0.279
"Honey, Honey",ABBA,5QTdOvIF2ehBMZpSIIGzIo,0.606,0.24,3,1,0.0369,0.772,0.0,0.0819,0.526,96.792,199210,4,199.20975,22050,1,0.0,193.56154,-7.102,96.792,0.145,4,0.635,3,0.77,1,0.694
I Am Just A Girl,ABBA,3j6hpMBtlXmV1SBXyCNDOe,0.429,0.235,4,1,0.0317,0.736,0.000102,0.211,0.419,98.943,183560,4,183.56,22050,1,0.16263,176.03048,-14.309,98.943,0.151,4,0.986,4,0.501,1,0.457
I Am The City,ABBA,7N2DblLu8DuZ0seGYSg73v,0.661,0.874,5,0,0.0456,0.0168,0.0,0.41,0.682,127.915,216667,4,216.66667,22050,1,0.06385,213.46104,-5.904,127.915,0.93,4,0.989,5,0.342,0,0.431
"I Do, I Do, I Do, I Do, I Do",ABBA,5de9Ho64dovuQI8Uhn5gPD,0.433,0.778,4,1,0.041,0.843,0.0,0.139,0.764,114.208,87561,4,87.56068,22050,1,0.0,80.06821,-7.681,114.208,0.688,4,1.0,4,0.432,1,0.415
I Have A Dream,ABBA,19GsJOvgLVujgxcnDVd8FB,0.525,0.319,0,1,0.0248,0.738,0.0,0.251,0.508,104.035,264440,4,264.44,22050,1,0.13982,251.5824,-12.566,104.035,0.02,4,0.928,0,1.0,1,0.825
I Let The Music Speak,ABBA,3xWiF0XcSQMzcR80BFRA15,0.46,0.0474,2,0,0.0432,0.992,0.895,0.111,0.115,134.968,213253,4,213.25333,22050,1,0.63905,205.42694,-23.571,134.968,0.022,4,0.568,2,0.568,0,0.613
I Saw It In The Mirror,ABBA,14WEAkSqDleRE4FsDkMI4G,0.76,0.271,5,1,0.0428,0.282,5.62e-06,0.103,0.472,108.662,154827,4,154.82667,22050,1,0.0,146.14059,-13.088,108.662,0.485,4,0.992,5,0.615,1,0.619
I Wonder (Departure),ABBA,2wcs7pwj5bzhVodPO21O7S,0.383,0.186,0,1,0.0305,0.899,3.31e-06,0.108,0.151,108.596,269067,4,269.06667,22050,1,0.11542,253.44,-10.759,108.596,0.14,4,0.917,0,0.697,1,0.751
I Wonder (Departure) [Live],ABBA,2baJwKfpukG4HwBmSR5BW5,0.328,0.318,0,1,0.0284,0.562,1.18e-06,0.339,0.291,134.441,270907,4,270.90667,22050,1,3.32626,261.24771,-11.286,134.441,0.222,4,0.991,0,0.628,1,0.629
If It Wasn't For The Nights,ABBA,18BxnxbC0zEOL7OVq9Zm9k,0.701,0.879,9,1,0.0383,0.301,0.000914,0.123,0.895,105.642,311000,4,311.0,22050,1,0.4585,293.16934,-4.68,105.642,0.517,4,1.0,9,0.453,1,0.49
I'm A Marionette,ABBA,7bEg9J0HwBmZ94m1OkPRYU,0.588,0.873,11,0,0.0351,0.000912,0.0,0.12,0.339,125.047,292387,4,292.38667,22050,1,0.17397,272.6429,-7.839,125.047,0.427,4,0.252,11,0.552,0,0.465
I've Been Waiting For You,ABBA,7C3xydn7tJZLCSBcV2ZFYe,0.491,0.373,9,1,0.0289,0.719,0.0,0.0992,0.267,77.702,197200,4,197.2,22050,1,0.2166,174.1961,-11.665,77.702,0.177,4,0.879,9,0.731,1,0.854
Juper Jrouper,ABBA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Just A Notion,ABBA,6wL6JKlP3GSWhJu4dLbIj2,0.389,0.392,9,0,0.0293,0.476,0.559,0.137,0.442,151.837,470000,4,470.0,22050,1,0.3951,458.46059,-15.644,151.837,0.066,4,0.736,9,0.333,0,0.355
King Kong Song,ABBA,5PsTYF9HGM9plJUxUxNlxz,0.548,0.914,2,1,0.0454,0.253,0.0,0.0857,0.852,155.538,194173,4,194.17333,22050,1,0.47605,175.29905,-7.726,155.538,0.384,4,0.946,2,0.653,1,0.638
Kisses Of Fire,ABBA,6XmiE7UK0cimqiI8LKbpMb,0.651,0.865,4,1,0.0436,0.0393,0.0,0.393,0.867,136.084,149533,4,149.53333,22050,1,0.59583,142.01324,-5.456,136.084,0.964,4,0.877,4,0.239,1,0.249
Knowing Me Knowing You,ABBA,7jicciytVTNBXYrIXHs3Hv,0.677,0.658,2,1,0.0282,0.083,0.0,0.0617,0.681,107.97,225373,4,225.37333,22050,1,0.67342,207.51673,-7.909,107.97,0.775,4,0.958,2,0.562,1,0.756
Lay All Your Love On Me,ABBA,74wySERHHxB8Ul9A0CNBla,0.705,0.738,5,0,0.0289,0.0102,0.000189,0.308,0.504,133.027,269440,4,269.44,22050,1,0.13093,251.33859,-5.402,133.027,0.962,4,0.99,5,0.367,0,0.451
Like An Angel Passing Through My Room,ABBA,3GHWScApxbXmNopwKIlMfS,0.309,0.0896,0,1,0.033,0.984,0.00345,0.093,0.163,95.62,316051,4,316.05134,22050,1,0.96245,307.81533,-14.297,95.62,0.228,4,0.62,0,0.68,1,0.809
Love Has It's Ways,ABBA,0cs3NIVP1auI6wMjRApKzJ,0.614,0.226,0,1,0.175,0.64,0.000214,0.11,0.194,172.818,289400,4,289.4,22050,1,0.37587,281.46068,-10.277,172.818,0.018,4,0.914,0,0.551,1,0.601
Love Isn't Easy,ABBA,6ZtGRYywFLrod9ijf6xrYn,0.534,0.848,6,0,0.0403,0.313,0.000249,0.136,0.463,92.94,210000,4,210.0,22050,1,0.09302,206.76209,-7.836,92.94,0.252,4,1.0,6,0.455,0,0.465
Lovelight,ABBA,6hWBuOwuZJXFGVDKtnackH,0.605,0.112,0,0,0.11,0.865,0.0,0.123,0.467,87.303,178440,4,178.44,22050,1,0.41252,175.28744,-12.091,87.303,0.54,4,0.656,0,0.0,0,0.04
Lovers,ABBA,2j5hsQvApottzvTn4pFJWF,0.799,0.597,5,0,0.0611,0.0788,5.66e-06,0.1,0.419,110.001,199849,4,199.84934,22050,1,0.17986,192.18576,-5.131,110.001,0.664,4,1.0,5,0.179,0,0.245
Mamma Mia,ABBA,717z018DWodjJnW6DE7t4z,0.685,0.698,2,1,0.0432,0.468,0.0,0.0237,0.574,138.061,159627,4,159.62667,22050,1,6.66993,153.88444,-7.478,138.061,0.567,4,0.876,2,0.9,1,0.845
Man In The Middle,ABBA,3iGkVOWTZ8MJR4sikK1oRI,0.717,0.789,2,1,0.0308,0.429,0.000439,0.0765,0.879,111.508,261427,4,261.42667,22050,1,0.18045,246.06186,-5.825,111.508,0.886,4,1.0,2,0.337,1,0.556
Me And Bobby And Bobby's Brother,ABBA,6TZFXq1LiprqGOZPt6gwOc,0.757,0.535,5,1,0.0297,0.37,2.19e-05,0.0801,0.725,129.283,170107,4,170.10667,22050,1,0.06952,161.61088,-10.115,129.283,0.579,4,1.0,5,0.623,1,0.585
Me And I,ABBA,33tNYw9oMtSkGe27NpgS64,0.79,0.629,8,1,0.142,0.182,7.06e-06,0.338,0.267,170.023,169620,4,169.62045,22050,1,0.0971,167.12562,-4.055,170.023,0.844,4,1.0,8,0.245,1,0.542
Merry-Go-Round,ABBA,5UDqWOgDdixYMAgAyNbpgh,0.65,0.462,6,1,0.0309,0.565,0.00134,0.129,0.368,86.999,206893,4,206.89333,22050,1,0.20195,200.87583,-9.375,86.999,0.024,4,1.0,6,0.675,1,0.665
Midnight Special,ABBA,6hPFEpT7bVguj9aCFLOmiz,0.706,0.597,4,1,0.0632,0.368,2.19e-05,0.193,0.393,96.026,207164,4,207.16404,22050,1,3.28562,203.15719,-7.076,96.026,0.274,4,0.964,4,0.328,1,0.353
Money Money Money,ABBA,2GGMabyHXnJmjY6CXhhB2e,0.95,0.59,8,0,0.29,0.00534,0.0,0.11,0.219,130.003,183527,4,183.52726,22050,1,0.18957,179.97206,-6.508,130.003,0.409,4,1.0,8,0.528,0,0.438
Move On,ABBA,01gDLZsi0j5fWC28FLPNO8,0.584,0.975,11,0,0.0651,0.141,0.501,0.101,0.876,138.341,535333,4,535.33333,22050,1,0.47596,524.00472,-6.534,138.341,0.685,4,1.0,11,0.62,0,0.615
"My Love, My Life",ABBA,790YJcgHlN3SaosQCHlWzn,0.358,0.19,5,1,0.0288,0.927,5.83e-06,0.121,0.269,77.756,217400,4,217.4,22050,1,2.28136,207.44127,-11.355,77.756,0.074,4,0.013,5,0.626,1,0.72
My Mama Said,ABBA,2KT2tP853wbbERHxfSzmvd,0.506,0.409,2,1,0.0307,0.141,0.238,0.106,0.253,122.265,260400,4,260.4,22050,1,0.0,252.03519,-10.726,122.265,0.326,4,0.996,2,0.547,1,0.511
"Nina, Pretty Ballerina",ABBA,0O0mGoCOxOtTHH5wcDStcn,0.736,0.704,0,1,0.0329,0.0757,0.0222,0.0595,0.881,125.249,172427,4,172.42667,22050,1,3.92417,163.57878,-10.69,125.249,0.912,4,1.0,0,0.965,1,0.728
On And On And On,ABBA,5274I4mUMnYczyeXkGDWZN,0.656,0.542,7,1,0.323,0.0484,0.0,0.126,0.551,166.111,141587,4,141.58667,22050,1,0.0,137.70594,-7.358,166.111,0.606,4,0.987,7,0.829,1,0.743
"One Man, One Woman",ABBA,769e3yVJw9s6r8k33YkT5A,0.528,0.613,4,0,0.0335,0.0493,0.0,0.0991,0.278,129.95,244560,3,244.56,22050,1,0.22063,237.09315,-5.465,129.95,0.48,3,0.842,4,0.0,0,0.248
One Of Us,ABBA,71CU7N8x2l4b5DEHPXxZfE,0.601,0.542,7,1,0.0348,0.452,0.0,0.317,0.823,82.228,225000,4,225.0,22050,1,0.53424,213.7571,-8.003,82.228,0.455,4,0.993,7,0.515,1,0.67
Our Last Summer,ABBA,7bFmXanwZQm6BMV9Nka6Hk,0.635,0.459,7,1,0.0244,0.246,0.0,0.259,0.433,96.056,177627,4,177.62667,22050,1,0.11116,170.74213,-7.343,96.056,0.398,4,1.0,7,0.77,1,0.746
People Need Love,ABBA,1seMB2RucSdcDNR4ItkJWU,0.558,0.523,11,1,0.0417,0.199,0.0,0.0571,0.842,77.753,167613,4,167.61333,22050,1,2.14204,156.45605,-11.262,77.753,0.025,4,0.869,11,0.686,1,0.676
Pick A Bale Of Cotton,ABBA,7ls1Z7uRrZKnicxjlX0d7D,0.339,0.956,2,1,0.22,0.0341,1.29e-05,0.0523,0.658,167.959,261867,4,261.86667,22050,1,0.45274,253.26585,-4.419,167.959,0.255,4,1.0,2,0.305,1,0.432
Put On Your White Sombrero,ABBA,2bACMuM250AF9rErF1uwWg,0.466,0.61,0,1,0.0278,0.606,0.000254,0.218,0.591,82.011,272493,3,272.49333,22050,1,0.42952,253.92181,-7.81,82.011,0.098,3,1.0,0,0.29,1,0.583
Reina Danzante,ABBA,1xZAfGaLm43qMBCNjYP2pl,0.604,0.636,6,1,0.024,0.303,1.82e-06,0.108,0.568,99.992,221600,4,221.6,22050,1,0.07156,212.10268,-5.23,99.992,0.482,4,1.0,6,0.743,1,0.66
Rikky Rock'n'Roller,ABBA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Ring Ring,ABBA,5DfWF0jqMgZDCiu9zJENTA,0.767,0.543,1,0,0.103,0.049,0.0,0.115,0.485,106.029,177140,4,177.13977,22050,1,0.10993,168.48399,-7.881,106.029,0.46,4,1.0,1,0.809,0,0.733
Rock Me,ABBA,7o8xfkcYJs1CPZXWiIFimg,0.621,0.777,8,0,0.151,0.244,0.0,0.449,0.526,138.007,278515,4,278.51483,22050,1,0.25556,271.69669,-4.75,138.007,0.706,4,1.0,8,0.51,0,0.526
Rock 'n Roll Band,ABBA,57sqdv1qf0pzJNinztznI8,0.764,0.604,0,1,0.0362,0.368,6.46e-06,0.328,0.548,133.99,253932,4,253.93166,22050,1,2.15946,240.13497,-10.384,133.99,0.354,4,1.0,0,0.338,1,0.522
Rubber Ball Man,ABBA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
S. O. S.,ABBA,43PuMrRfbyyuz4QpZ3oAwN,0.53,0.433,6,1,0.185,0.108,0.0,0.135,0.274,160.14,194613,4,194.61333,22050,1,0.09937,191.24535,-10.598,160.14,0.316,4,0.357,6,0.032,1,0.506
Should I Laugh Or Cry,ABBA,6bFHvTWEKRHmtGQdhheo0z,0.767,0.531,10,1,0.029,0.302,0.0446,0.0882,0.631,105.777,269373,4,269.37333,22050,1,0.42966,256.55147,-10.5,105.777,0.866,4,1.0,10,0.675,1,0.576
Sitting In The Palmtree,ABBA,5GtZQAGslCdh7jUtvhMx1E,0.867,0.326,2,1,0.0427,0.747,9.53e-06,0.0771,0.886,112.714,218200,4,218.2,22050,1,0.4654,209.42077,-12.862,112.714,0.952,4,0.878,2,0.739,1,0.707
Slipping Through My Fingers,ABBA,1QRKeAlaLqJUeCWMBRP20A,0.463,0.489,2,1,0.0288,0.507,0.0,0.165,0.249,140.034,230893,4,230.89333,22050,1,2.15946,223.70685,-7.968,140.034,0.444,4,0.852,2,0.838,1,0.916
So Long,ABBA,5dTHtzHFPyi8TlTtzoz1J9,0.356,0.96,4,1,0.104,0.0142,0.0,0.209,0.0857,125.921,204733,4,204.73333,22050,1,2.33361,198.06621,-3.487,125.921,0.726,4,0.977,4,0.057,1,0.197
Soldiers,ABBA,6CN3e26iQSj1N5lomh0mfO,0.671,0.755,1,0,0.268,0.0227,0.000529,0.107,0.387,81.853,296880,4,296.88,22050,1,0.29011,284.61279,-3.439,81.853,0.224,4,0.925,1,0.631,0,0.545
SOS,ABBA,30cSNer6TV8x2utjULVeQ5,0.677,0.671,7,1,0.0361,0.004,5.07e-05,0.413,0.527,137.046,238920,4,238.92,22050,1,0.15111,238.92,-4.905,137.046,0.797,4,0.993,7,0.383,1,0.0
Summer Night City,ABBA,2ybeXAz8fQTdxGajZVsEiJ,0.475,0.86,7,0,0.0362,0.011,0.0,0.261,0.786,130.689,215133,4,215.13333,22050,1,0.44685,198.7454,-5.649,130.689,0.91,4,1.0,7,0.305,0,0.408
Suzy-Hang-Around,ABBA,5RlOYzoDfRVKweLpMThtQt,0.211,0.568,8,1,0.0317,0.154,0.0212,0.247,0.659,143.561,198427,4,198.42667,22050,1,0.48771,181.53941,-9.78,143.561,0.237,4,0.286,8,0.251,1,0.493
Take A Chance,ABBA,6vQN2a9QSgWcm74KEZYfDL,0.685,0.685,11,1,0.0254,0.173,0.0,0.201,0.925,106.987,243933,4,243.93333,22050,1,0.4742,233.86558,-8.103,106.987,0.896,4,1.0,11,0.821,1,0.564
Take A Chance On Me,ABBA,6vQN2a9QSgWcm74KEZYfDL,0.685,0.685,11,1,0.0254,0.173,0.0,0.201,0.925,106.987,243933,4,243.93333,22050,1,0.4742,233.86558,-8.103,106.987,0.896,4,1.0,11,0.821,1,0.564
Thank You For The Music,ABBA,64yJ0tpcSveze3KJAdZGKe,0.528,0.134,4,1,0.0348,0.932,0.0,0.103,0.479,98.879,224107,4,224.10667,22050,1,0.32512,211.53959,-11.264,98.879,0.003,4,0.906,4,0.501,1,0.554
That's Me,ABBA,5c0Vl3yklw5WX9YI36dPLd,0.803,0.648,4,0,0.198,0.0288,0.0,0.0904,0.538,131.925,219552,4,219.55202,22050,1,0.0,216.46222,-9.185,131.925,0.572,4,1.0,4,0.448,0,0.506
The Day Before You Came,ABBA,1r93lJK0yzvdlmqMIbqiqR,0.357,0.112,9,0,0.0381,0.925,0.0,0.0754,0.218,99.105,329307,4,329.30667,22050,1,0.33098,317.38195,-15.843,99.105,0.05,4,0.522,9,0.541,0,0.669
The King Has Lost His Crown,ABBA,7Ktvf3jSNSHajArfP8vpRv,0.721,0.588,7,1,0.0282,0.155,9.67e-05,0.0655,0.47,114.75,213800,4,213.8,22050,1,0.84322,200.24308,-8.206,114.75,0.789,4,0.985,7,0.653,1,0.651
The Name Of The Game,ABBA,021oUsG0NYI7YuJK6c0ecG,0.65,0.62,9,1,0.0289,0.13,0.0,0.0764,0.725,78.024,285747,4,285.74667,22050,1,0.25746,270.39057,-8.437,78.024,0.499,4,0.992,9,0.519,1,0.562
The Piper,ABBA,3Y8gNcoJu1uJ5L1BZuGvqB,0.348,0.634,2,1,0.048,0.378,0.474,0.346,0.0803,124.079,251279,4,251.27873,22050,1,3.59329,241.50494,-11.527,124.079,0.628,4,0.309,2,0.753,1,0.416
The Visitors,ABBA,6TvxPS4fj4LUdjw2es4g21,0.47,0.265,5,1,0.0396,0.846,0.00162,0.144,0.357,137.398,233720,4,233.72,22050,1,0.59215,226.75447,-15.878,137.398,0.477,4,0.99,5,0.835,1,0.701
The Way Old Friends Do,ABBA,0snim2CMV62M4JocWIpjGH,0.142,0.225,2,1,0.0383,0.591,0.0,0.287,0.256,176.614,185213,1,185.21333,22050,1,0.0,185.21333,-14.375,176.614,0.024,1,0.519,2,0.921,1,0.778
The Winner Takes It All,ABBA,2HeTmGTjl870ucJ8mF7zl5,0.457,0.785,6,1,0.0383,0.548,0.000781,0.082,0.522,126.947,294733,4,294.73333,22050,1,0.42422,286.05823,-6.783,126.947,0.691,4,0.944,6,0.671,1,0.674
