song,artist,trackid,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,duration,analysis_sample_rate,analysis_channels,end_of_fade_in,start_of_fade_out,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence
Here I Go Again,Rihanna,1qOU8KzFifXE9YrgjVwYvc,0.292,0.823,7,1,0.0407,0.0117,7.79e-05,0.155,0.244,89.939,275395,4,275.39506,22050,1,0.09247,263.9122,-6.763,89.939,0.354,4,0.971,7,0.64,1,0.633
I'm Beginning To See The Light,Ella Fitzgerald,5m6pbulByW25gIcxCpDvxE,0.761,0.138,5,1,0.083,0.866,0.0,0.147,0.492,112.726,165267,4,165.26667,22050,1,0.52245,159.71846,-13.518,112.726,0.802,4,0.95,5,0.351,1,0.201
I Want It All,Queen,4DtB1PJsbl4KAb2rZVNCUL,0.406,0.846,11,0,0.062,0.0369,2.82e-06,0.353,0.44,92.773,242093,4,242.09333,22050,1,1.00458,229.27383,-5.626,92.773,0.196,4,0.994,11,0.51,0,0.582
Planet Telex,Radiohead,05evePUsIT1cmIURp1hgu6,0.429,0.88,9,0,0.109,0.0206,0.698,0.607,0.255,148.965,259200,3,259.2,22050,1,3.29723,251.71592,-8.013,148.965,0.768,3,0.529,9,0.508,0,0.591
Down Is The New Up,Radiohead,6CNt7GXfOOS5Hkxu8e4vav,0.532,0.845,4,0,0.0433,0.129,0.297,0.119,0.125,104.807,299283,4,299.28317,22050,1,0.0,286.65034,-6.967,104.807,0.548,4,1.0,4,0.634,0,0.529
Lotus Flower,Radiohead,3MAgQuClHcAV8E9CbeBS6f,0.512,0.598,9,0,0.115,0.611,0.0,0.0881,0.345,70.189,213253,4,213.25333,22050,1,0.49365,205.98422,-4.959,70.189,0.032,4,1.0,9,0.516,0,0.551
I Remember You,Ella Fitzgerald,4ZpXHlV2vQVfPXUvbDSZ92,0.345,0.531,0,1,0.0305,0.00642,7.28e-06,0.14,0.49,176.302,313693,4,313.69333,22050,1,0.2381,304.85478,-12.708,176.302,0.016,4,0.961,0,0.755,1,0.472
Umbrella,Train,49FYlytm3dAAraYgpoJZux,0.583,0.829,1,1,0.134,0.00864,0.0,0.0426,0.575,174.028,275987,4,275.98667,22050,1,0.33556,262.65832,-4.603,174.028,0.481,4,1.0,1,0.6,1,0.606
Ain't Nothing Like The Real Thing,Elton John,37soQoNhEEIrhhYgHWK1xU,0.606,0.52,8,1,0.036,0.0356,0.000628,0.354,0.765,93.449,138533,4,138.53333,22050,1,0.22626,127.84907,-11.312,93.449,0.109,4,0.98,8,0.368,1,0.467
Purple Stain,Red Hot Chili Peppers,0tGkxA0oybkQ3iR6LLXPjZ,0.554,0.875,9,1,0.104,0.0157,0.00422,0.0852,0.821,100.988,253373,4,253.37333,22050,1,0.0,245.26658,-1.372,100.988,0.521,4,0.971,9,0.489,1,0.351
Get Back,Elton John,3K7xYRXPFDVyen7cZF5Zk2,0.704,0.713,7,1,0.0719,0.0142,0.0,0.238,0.592,99.301,165773,4,165.77333,22050,1,0.19161,158.69098,-3.411,99.301,0.081,4,0.823,7,0.548,1,0.585
Nothing Touches Me,Radiohead,4M4NnyxMY2Y0QTaUbcdFiZ,0.532,0.828,8,1,0.0422,0.0687,5.78e-05,0.111,0.578,126.811,267225,4,267.22526,22050,1,0.1244,259.11728,-5.081,126.811,0.904,4,1.0,8,0.074,1,0.28
One Of The Boys,Katy Perry,14iN3o8ptQ8cFVZTEmyQRV,0.699,0.76,5,1,0.0677,0.00223,0.0,0.132,0.696,129.996,179640,4,179.64,22050,1,0.10603,176.7561,-3.173,129.996,0.538,4,1.0,5,0.006,1,0.238
Kiss Me Babe It's Christmas Time,Owl City,3Kac7h5Elm66yM6k8DqmBJ,0.705,0.571,0,1,0.0299,0.0201,0.0,0.0924,0.533,105.982,229034,4,229.03351,22050,1,0.1683,215.63211,-7.068,105.982,0.801,4,1.0,0,0.923,1,0.822
We All Want Love,Rihanna,0FhMrYMsry7Dua48m3cBTj,0.531,0.578,0,1,0.0326,0.00421,0.000345,0.243,0.272,148.063,237013,4,237.01333,22050,1,0.08689,233.18059,-6.628,148.063,0.659,4,0.953,0,0.824,1,0.594
Hoop Of Fire,Elton John,3TogYi3mF7a5uLcfoY2XVZ,0.558,0.414,7,1,0.0493,0.133,0.000136,0.291,0.247,169.125,255867,4,255.86667,22050,1,0.74304,245.40009,-17.634,169.125,0.194,4,1.0,7,0.601,1,0.718
Fortune Faded,Red Hot Chili Peppers,37sSud1ZrTpwXPGJP0dbXI,0.524,0.946,11,0,0.0395,0.00163,0.0,0.242,0.613,119.156,201267,4,201.26667,22050,1,0.22054,201.26666,-3.081,119.156,0.765,4,0.686,11,0.201,0,0.301
Mellowship Slinky In B-Major,Red Hot Chili Peppers,5TYQonY07iJP2ULhR4ptce,0.652,0.809,6,0,0.0762,0.00295,0.00928,0.352,0.773,91.919,239960,4,239.96,22050,1,0.0,239.96001,-11.623,91.919,0.407,4,0.847,6,0.203,0,0.339
California Dreamin',Sia,4s6LhHAV5SEsOV0lC2tjvJ,0.552,0.616,1,0,0.0346,0.352,0.0,0.0501,0.667,112.442,162373,4,162.37333,22050,1,0.36803,152.83374,-9.785,112.442,0.814,4,1.0,1,0.568,0,0.6
By Myself,Ella Fitzgerald,6iRTYLWbxXtUz00KQIWiTN,0.685,0.553,1,0,0.0667,0.359,0.0,0.654,0.695,130.022,184625,4,184.62499,22050,1,0.32512,179.83855,-6.965,130.022,0.595,4,0.987,1,0.186,0,0.396
So Much I,Red Hot Chili Peppers,2fhfoZqqTJ8jo4HvWseNfM,0.518,0.87,0,1,0.098,0.0351,0.00707,0.255,0.661,169.665,238133,4,238.13333,22050,1,0.0,221.91891,-4.933,169.665,0.083,4,1.0,0,0.771,1,0.734
Born To Lose,Elton John,4WsQCb1Atrhbb2I78hHCNG,0.229,0.99,4,1,0.158,0.000189,0.0447,0.263,0.173,164.892,184773,4,184.77333,22050,1,4.85297,184.77333,-2.901,164.892,0.065,4,0.938,4,0.217,1,0.315
Written In The Stars,Rihanna,6SLMyJPRTh2zCX9SJJHTZQ,0.612,0.519,9,1,0.0391,0.478,0.0,0.189,0.537,80.882,231341,4,231.34077,22050,1,0.0,223.54431,-5.568,80.882,0.268,4,0.983,9,0.313,1,0.433
Buena Sera,Michael Buble,2N39TpRLHt3sXossZB3If6,0.884,0.577,6,0,0.105,0.103,0.000184,0.0574,0.797,97.973,328200,4,328.2,22050,1,0.0,328.20001,-6.538,97.973,0.894,4,1.0,6,0.225,0,0.566
Blue Room,Ella Fitzgerald,1uKzAldJYlwje9HstlwTie,0.369,0.295,4,1,0.0351,0.657,1.54e-05,0.107,0.211,92.226,171373,4,171.37333,22050,1,0.44644,158.10467,-12.779,92.226,0.328,4,0.993,4,0.676,1,0.612
Hard,Rihanna,1BxkZE73h9BN3qwuA15TA3,0.9,0.653,1,0,0.289,0.0945,0.0,0.528,0.399,112.503,145603,4,145.60349,22050,1,0.10649,130.22912,-6.962,112.503,0.756,4,1.0,1,0.362,0,0.546
Invasion,Eminem,58q2HKrzhC3ozto2nDdN4z,0.816,0.726,5,0,0.129,0.099,0.0,0.372,0.65,136.048,253390,4,253.39029,22050,1,0.15116,241.77197,-3.998,136.048,0.861,4,1.0,5,0.601,0,0.607
Dressing Up,Katy Perry,2xRJzRoP4b8U8evHDmgVB9,0.547,0.485,0,1,0.0412,0.449,0.00163,0.123,0.69,145.421,137027,4,137.02667,22050,1,0.22195,132.69624,-7.527,145.421,0.421,4,0.642,0,0.97,1,0.869
Explanation,Train,0VJYhKhrHgJ7fgjGaC2k07,0.597,0.113,0,1,0.954,0.461,0.000393,0.148,0.313,81.311,50748,5,50.74785,22050,1,2.12463,47.11329,-34.475,81.311,0.0,5,0.733,0,0.493,1,0.157
Silly Boy,Rihanna,1IZvIC5iRUxjJtYKpzSfnv,0.513,0.593,9,1,0.0682,0.0015,0.0,0.0926,0.728,96.67,197240,4,197.24,22050,1,0.0,191.69814,-4.74,96.67,0.684,4,1.0,9,0.622,1,0.476
Heaven For Everyone,Queen,1gZisUSub74637T2rJmimh,0.588,0.444,0,1,0.0308,0.316,2.52e-06,0.158,0.247,110.203,336160,4,336.16,22050,1,8.40562,325.56118,-9.537,110.203,0.66,4,1.0,0,0.802,1,0.723
The One,Rihanna,1XBc4r6ltXjkFJBrsttwIF,0.691,0.402,8,1,0.0599,0.703,0.0,0.463,0.844,139.752,125827,4,125.82667,22050,1,0.0,122.09633,-12.149,139.752,0.073,4,0.846,8,0.494,1,0.622
Crosstown Traffic,Red Hot Chili Peppers,1ntxpzIUbSsizvuAy6lTYY,0.486,0.963,0,0,0.129,0.248,2.39e-06,0.158,0.533,113.133,146573,4,146.57333,22050,1,0.0,130.77478,-5.586,113.133,0.75,4,0.586,0,0.306,0,0.454
Ballad Of The Boy In The Red Shoes,Elton John,4kuyZgXXl3KAFCqz3D4X8X,0.611,0.721,8,1,0.0261,0.0938,0.0,0.114,0.596,126.0,291773,4,291.77333,22050,1,0.28454,279.68435,-5.984,126.0,0.763,4,0.983,8,0.789,1,0.774
The Invisible Man,Queen,0h15VlXIzD1MwKwNi12ois,0.71,0.8,0,1,0.0396,0.196,0.0107,0.333,0.652,120.015,237680,4,237.68,22050,1,0.22635,226.2146,-6.815,120.015,0.803,4,1.0,0,0.759,1,0.69
Every Day Is A Holiday,Katy Perry,0IsLapLeRiHMrkenZIUDfP,0.43,0.545,10,1,0.027,0.0665,0.00057,0.0999,0.398,79.758,339660,4,339.66005,22050,1,0.30154,329.17769,-5.526,79.758,0.155,4,0.993,10,0.733,1,0.626
Hellbound,Eminem,3IPpgcViKQ2E81XgMnT3yw,0.268,0.568,9,0,0.0348,0.0586,0.651,0.188,0.533,165.443,550507,4,550.50667,22050,1,9.5376,538.78422,-17.062,165.443,0.387,4,1.0,9,0.507,0,0.468
Peppermint Winter,Owl City,6wKhmDj3Ci3Qlj1D3ezjmR,0.499,0.802,0,1,0.0354,0.236,0.0,0.104,0.145,77.005,240560,3,240.56,22050,1,0.49311,224.71692,-4.81,77.005,0.03,3,0.919,0,0.638,1,0.719
Death Of A Martian,Red Hot Chili Peppers,21YMiAQTystq882x5Sh0R5,0.457,0.874,0,0,0.0482,0.0111,0.0,0.0797,0.423,114.797,264800,4,264.8,22050,1,0.22417,258.38585,-3.059,114.797,0.594,4,0.917,0,0.618,0,0.554
Blue Moon,Ella Fitzgerald,1jhtxc7ON8ZzgvWGPwWXUN,0.468,0.331,3,1,0.036,0.613,0.00108,0.129,0.09,102.448,215507,4,215.50667,22050,1,0.0,201.16608,-11.052,102.448,0.189,4,1.0,3,0.17,1,0.378
You Give Good Love,Whitney Houston,0t6DdFmFQhQYWhmfa5FJer,0.559,0.365,5,1,0.0332,0.686,0.0,0.0771,0.534,74.802,277240,4,277.24,22050,1,1.20608,262.80345,-13.654,74.802,0.0,4,1.0,5,0.249,1,0.41
Hold On Longer,John Legend,5GNvTRrghExnVkZfAasBXg,0.42,0.359,6,0,0.0289,0.894,0.426,0.344,0.181,121.091,158093,3,158.09333,22050,1,0.23229,140.6839,-9.059,121.091,0.374,3,0.936,6,0.446,0,0.459
I Cried For You,Ella Fitzgerald,33d14BJBbgbcQbcDhreYCs,0.736,0.554,7,1,0.17,0.135,5.86e-05,0.103,0.435,98.989,243663,4,243.66295,22050,1,0.15098,243.66295,-8.79,98.989,0.869,4,1.0,7,0.701,1,0.673
If I Had...,Eminem,3FnkZFv7kbxwlgaLgbqeDc,0.794,0.569,2,1,0.0371,0.663,0.00343,0.0898,0.706,92.915,238813,4,238.81333,22050,1,0.13941,229.16934,-8.057,92.915,0.138,4,1.0,2,0.634,1,0.594
Dem Haters,Rihanna,7jP5dRMrHFQZblvBftHhbZ,0.727,0.594,11,0,0.0908,0.0132,0.0,0.0301,0.467,82.015,257867,4,257.86667,22050,1,0.17728,241.96934,-4.52,82.015,0.328,4,1.0,11,0.388,0,0.541
Hopeless,Train,7IBSffWIu7P2MC7kMwy2FM,0.877,0.477,9,0,0.0587,0.307,0.0,0.0929,0.552,127.023,226743,4,226.74286,22050,1,0.0,208.4107,-7.379,127.023,0.978,4,0.703,9,0.427,0,0.448
Green And Gold,Eminem,4VPpZXXeZHfpzvHNaPjLcF,0.7,0.4,7,1,0.0465,0.212,0.000321,0.55,0.28,93.959,278200,4,278.2,22050,1,0.19791,271.61542,-8.46,93.959,0.522,4,0.371,7,0.796,1,0.748
Paper Doll,Michael Buble,5FDh0G5oQ2UD9JxWiDCT1x,0.658,0.475,7,1,0.0292,0.521,0.0067,0.176,0.685,153.851,257387,4,257.38667,22050,1,0.20317,250.49687,-11.703,153.851,0.499,4,1.0,7,0.568,1,0.62
God Rest Ye Merry Gentlemen,Ella Fitzgerald,1qLOhifWdJuFo5tClf7fWP,0.417,0.254,0,0,0.0424,0.982,8.86e-05,0.508,0.642,91.174,137267,3,137.26667,22050,1,0.37447,133.48571,-11.893,91.174,0.035,3,0.16,0,0.326,0,0.593
Ill Wind,Ella Fitzgerald,5RMTMx6CQ5g8ZoYTnh9dkB,0.293,0.514,9,1,0.0552,0.672,0.00027,0.0841,0.355,154.217,323493,4,323.49333,22050,1,5.23029,309.89351,-12.081,154.217,0.186,4,0.994,9,0.326,1,0.351
Mommy Where's Daddy,Red Hot Chili Peppers,6DvCkB04CgSj9t9zd2mBY9,0.744,0.576,0,1,0.0415,0.008,0.0173,0.0404,0.818,88.507,211333,4,211.33333,22050,1,0.22744,193.72408,-8.276,88.507,0.08,4,1.0,0,0.771,1,0.492
I Can Hear Music,Queen,1hcMfYTsRTC4hIKbfosxjz,0.511,0.603,2,1,0.028,0.0385,1.67e-06,0.142,0.685,128.336,157293,4,157.29333,22050,1,0.37814,145.38014,-7.637,128.336,0.591,4,1.0,2,1.0,1,0.773
I Go To The Rock,Whitney Houston,2Sx7ifYacUq3ZbKJVpsMkm,0.596,0.758,10,1,0.0485,0.268,0.0,0.587,0.636,127.803,245227,4,245.22667,22050,1,0.60454,238.82884,-8.47,127.803,0.693,4,0.862,10,0.358,1,0.276
I'll Never Be The Same,Ella Fitzgerald,5WD8EzYK4mFtc4yHfiRplP,0.729,0.177,0,1,0.0404,0.953,0.000105,0.418,0.563,89.909,181533,4,181.53333,22050,1,0.08127,178.71819,-13.707,89.909,0.65,4,1.0,0,0.581,1,0.597
Ac-Cent-Tchu-Ate The Positive,Ella Fitzgerald,7kjhZR3dESBnn0GoHf3tVI,0.644,0.313,1,1,0.141,0.908,5.29e-05,0.22,0.933,137.618,162507,4,162.50667,22050,1,3.1463,158.38912,-14.314,137.618,0.625,4,0.943,1,0.703,1,0.626
Numb,Sia,01TnVDiet1DFTsyWKUKovl,0.414,0.416,11,0,0.0251,0.1,0.179,0.131,0.196,159.91,186268,4,186.26798,22050,1,0.0,180.07655,-8.024,159.91,0.414,4,0.642,11,0.336,0,0.532
Magpies On Fire,Red Hot Chili Peppers,3R1HMn3ZYaazCW3sJT52ZF,0.522,0.694,10,1,0.0269,0.0827,0.0,0.0985,0.358,82.034,224440,4,224.44,22050,1,0.59773,212.7122,-5.674,82.034,0.409,4,0.966,10,0.636,1,0.606
Spectre 007 Theme,Sam Smith,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
I'm Every Woman,Whitney Houston,2M55R2A9IAhLdsCGFj8r8k,0.537,0.929,5,0,0.0446,0.0145,0.000618,0.188,0.717,114.785,213267,4,213.26667,22050,1,2.54839,208.20753,-4.957,114.785,0.851,4,1.0,5,0.418,0,0.634
I Might Be Wrong,Radiohead,0JhpYE9xA3UpSFrmXTZyIF,0.601,0.735,7,0,0.0255,0.263,0.795,0.11,0.505,102.891,293773,4,293.77333,22050,1,3.34367,283.84653,-8.321,102.891,0.625,4,1.0,7,0.0,0,0.112
West Coast Friendship,Owl City,0G8vwB1TTrRpDnh3UhDU6S,0.581,0.632,9,1,0.0324,0.0219,0.0,0.0978,0.499,159.956,246640,4,246.64,22050,1,0.19746,225.30902,-8.436,159.956,0.18,4,0.405,9,0.0,1,0.165
Silver Bells,Michael Buble,4QX5pZQpQTgVlkqfUTDim0,0.273,0.259,8,1,0.0306,0.9,0.0,0.308,0.604,97.085,142560,3,142.56,22050,1,0.38118,135.01243,-13.967,97.085,0.294,3,0.98,8,0.977,1,0.745
Joy To The World,Whitney Houston,1VuAamHM7P3VQQEXYGG3Uu,0.553,0.337,10,1,0.03,0.818,0.0,0.113,0.662,101.918,84987,4,84.98667,22050,1,0.0,79.63864,-10.334,101.918,0.066,4,1.0,10,0.632,1,0.529
Get It Back,Whitney Houston,4MLBqAEzNN89o2M9h92Z26,0.761,0.592,2,1,0.0586,0.492,0.00626,0.61,0.332,123.095,189387,4,189.38667,22050,1,0.40694,179.82694,-9.836,123.095,0.709,4,0.791,2,0.907,1,0.704
Prove Yourself,Radiohead,4D6ZExVvYLZxhcAvifX5px,0.25,0.62,0,1,0.0611,0.000849,0.0848,0.175,0.319,114.098,145373,4,145.37333,22050,1,0.1907,133.9327,-10.915,114.098,0.531,4,0.836,0,0.376,1,0.511
"Johnny, Kick A Hole In The Sky",Red Hot Chili Peppers,6vIf6kXGafCa6bBgXVSvnN,0.644,0.997,11,0,0.0991,0.00629,0.0,0.159,0.168,120.088,320907,4,320.90667,22050,1,0.32653,302.64308,-2.723,120.088,0.877,4,1.0,11,0.0,0,0.051
Polar Bear,Queen,2Wa1LMgomQa5OJuaOSnv1B,0.512,0.558,5,1,0.0351,0.00814,0.0139,0.159,0.0374,83.979,242680,4,242.68,22050,1,0.44,239.62413,-6.229,83.979,0.219,4,0.661,5,0.078,1,0.322
Nothing Like The First Time,Katy Perry,2zZmV2k2YjLOJJhJWvxmsV,0.264,0.2,0,1,0.0424,0.173,0.51,0.0982,0.0358,136.0,554118,4,554.11764,22050,1,0.0,546.34231,-15.314,136.0,0.122,4,0.89,0,0.017,1,0.357
Save This Lady,Red Hot Chili Peppers,4pHrOYHfEFUKaHaxupTOnA,0.333,0.502,4,0,0.0857,0.00602,0.0874,0.0874,0.35,172.375,426627,4,426.62667,22050,1,0.0,416.07256,-12.99,172.375,0.124,4,0.94,4,0.426,0,0.502
